pEtaBin,jEtaBin,pPtBin,N_WP0,N_WP0error,N_WPc,N_WPcerror,N_WPb,N_WPberror
0,0,0,7178.674377362004,21.67836512372609,1783.125397787557,10.805385667432954,922.3100691099536,7.755384020393514
0,0,1,4859.713087975746,17.371633689571482,1204.0793148341313,8.681049601888752,628.3007875846587,6.218419486214625
0,0,2,6707.852119996456,19.58213078302116,1681.8045920400768,9.813807789186773,860.3556410685616,6.921196308874263
0,0,3,4673.587889863037,14.022742040004001,1200.1393795211961,7.050674252086332,633.1570533202935,5.056790225853769
0,0,4,1423.608048371395,3.59313656776843,393.39747260693986,1.8781457025216604,209.81740101758965,1.3601070440624754
0,0,5,512.6739187724974,1.7272390753970543,153.1490151350034,0.942767276270669,84.46961445116959,0.6947386200946638
0,0,6,383.29261525985675,0.964331248870451,125.9821226902328,0.5557182449438028,73.03475585748853,0.4238499985025554
0,0,7,27.98790655563896,0.26155266388642523,11.048499903416197,0.16425575417514177,7.148633596953037,0.13285157007065787
0,1,0,1945.5507421598636,11.35228876300801,625.307809097326,6.425100231074172,322.5060038151991,4.55586442387615
0,1,1,1285.3279015411165,8.902195368122324,420.7269246765952,5.0870233419560735,218.36303432483717,3.66371943303954
0,1,2,1744.299443885867,10.020268453015735,581.1464996839659,5.768924029866394,301.3691865294709,4.149087692742583
0,1,3,1107.1139743366955,6.863876228283913,391.4219522040846,4.01857654050739,210.45036170510448,2.925200056192428
0,1,4,286.07514464801136,1.643810236105004,111.6204588807002,1.0354439019565198,63.02276170390821,0.7603825807602536
0,1,5,86.38401405538578,0.731870682284319,35.12351673381975,0.45168711768535963,21.203924101663027,0.35506278175499284
0,1,6,45.509609597728435,0.33499445883824697,19.956718679763203,0.22073415780811864,13.043599726708305,0.17927055568866052
0,1,7,1.2088014052257554,0.05358235630590364,0.5762782524079971,0.03709907959455627,0.4412014018775807,0.032671667717694364
1,0,0,1850.2783913357134,10.755091041561839,420.85402106718624,5.155501367845395,208.61907070988465,3.572383826113973
1,0,1,1239.248274162375,8.516493968255153,286.0736591740805,4.098900248742294,146.17972690444034,2.8864707769978337
1,0,2,1630.3935643942955,9.291889929519106,371.5995638859216,4.4184762591294735,193.05159422171405,3.112934095998497
1,0,3,1054.8615821948815,6.481325535770791,250.43972679738647,3.1042813866530863,128.80586820272006,2.1452094020884247
1,0,4,258.43306113945647,1.5264585977710845,68.22740402847444,0.7707456654944036,37.06203043181284,0.5518256690154787
1,0,5,72.96002542103794,0.6463410692619417,21.22898807139986,0.35268275243569414,11.822016768977377,0.25943979658281047
1,0,6,34.97936274489459,0.29596585083074606,11.007014224172098,0.16777591107134796,6.429535221465053,0.12713808193730952
1,0,7,0.7252444076653803,0.042793630761434366,0.20944093082716775,0.021712401409454837,0.14037804375267154,0.017569518936461512
1,1,0,1010.2774757047538,8.2766611757335,320.37579192317963,4.678204963369901,151.23738200465073,3.213956691547771
1,1,1,649.9148888284637,6.435776160479206,209.15933603930657,3.648397953276066,98.01309397424697,2.4896128507876067
1,1,2,809.0347597390197,6.954272984300261,271.56919596273525,4.027739695100967,130.2388909563161,2.776833265683177
1,1,3,445.48184121214575,4.549142569615235,160.53802923816593,2.731428939377406,82.29075810982079,1.9577047531952154
1,1,4,84.22809442725057,0.9277082391140281,33.19944327436286,0.5723144435945502,18.0329622227172,0.4322335946390629
1,1,5,18.133843832597613,0.34112173025303616,7.958036620154885,0.22766585226861846,4.401939645234317,0.16810728421533486
1,1,6,5.356286977381749,0.1177320991418708,2.61026831777467,0.08345149841350415,1.435053819671399,0.06241418758474299
1,1,7,0.032735340075491406,0.009190551583404595,0.024635798940579528,0.007712756753437112,0.012702121027017241,0.005104613624150843
