pEtaBin,jEtaBin,pPtL,pPtR,fake_value,fake_error,fake_xs,fake_xs_err
0,0,210,230,14711.90798670642,172.2653130828221,0.00025492720228028926,2.985004688298985e-06
0,0,230,250,10151.757166963333,133.8671512173678,0.00017590913803575307,2.319643269106383e-06
0,0,250,300,12908.62873592299,150.47029750127604,8.947202801695888e-05,1.0429367014242886e-06
0,0,300,400,8427.19997345082,114.30287742101427,2.9205219530050835e-05,3.9612690318421974e-07
0,0,400,500,1888.1761379194536,53.99766550318964,6.543644246377156e-06,1.871337668619653e-07
0,0,500,600,461.9347260475302,28.446008586396403,1.6008763438952395e-06,9.858220145916727e-08
0,0,600,800,209.71922325054172,21.163567894913342,3.634004161524455e-07,3.6672124095625446e-08
0,1,210,230,5942.975640900252,110.3115201317828,0.00015446937488226313,2.86720871608477e-06
0,1,230,250,4068.6533519719255,84.84127455326052,0.00010575213123312151,2.205188012931412e-06
0,1,250,300,4858.901405810031,89.59535322865213,5.051687963212518e-05,9.315022670016519e-07
0,1,300,400,3061.867188731618,66.57354467567143,1.5916764233758157e-05,3.460749109915453e-07
0,1,400,500,586.1510490558652,28.558516886023654,3.0470387767070415e-06,1.4845816363737882e-07
0,1,500,600,117.00332682522625,13.493754651934736,6.082283302477086e-07,7.014573075326436e-08
0,1,600,800,43.55884753929659,9.03176449947815,1.1321782818156907e-07,2.347529420643678e-08
1,0,210,230,3772.618114715084,94.4312384727566,0.00010108122348030803,2.530132875722527e-06
1,0,230,250,3052.3708536115914,75.29827912520477,8.178335866947224e-05,2.017496059367847e-06
1,0,250,300,3720.1885895039254,79.504866602339,3.987058353325408e-05,8.520819170598758e-07
1,0,300,400,1879.959086585406,58.46973929759531,1.0074094901032757e-05,3.133204901775186e-07
1,0,400,500,334.4278150674615,25.889449017393474,1.792090886751106e-06,1.3873321403519942e-07
1,0,500,600,82.72867503687866,12.829765606811684,4.433163090117883e-07,6.875057930956483e-08
1,0,600,800,42.037634920463525,8.749657553515668,1.126330691517629e-07,2.344329756286176e-08
1,1,210,230,1666.1317594773757,67.24137694488354,6.696197373004866e-05,2.7024365215677484e-06
1,1,230,250,1244.8222342630497,49.46761896070598,5.0029508935985625e-05,1.9881077126660645e-06
1,1,250,300,1356.398299959192,49.800649473655085,2.180550411159326e-05,8.005968946514247e-07
1,1,300,400,672.974551068918,35.11975120487182,5.409380615108561e-06,2.8229314328947646e-07
1,1,400,500,78.91821738125756,12.683190074327811,6.343459416155252e-07,1.0194769240060037e-07
1,1,500,600,12.750086404248549,5.449493284745525,1.024854062112049e-07,4.380311750250404e-08
1,1,600,800,6.519595421334916,3.340608183431961,2.620230812183268e-08,1.3425932021818236e-08
