pEtaBin,jEtaBin,pPtL,pPtR,b_value,b_error,c_value,c_error,l_value,l_error
0,0,210,230,229.3491375532753,0.0,958.9895074835371,0.0,5986.254821643069,0.0
0,0,230,250,157.13963055380515,0.0,629.7412642153189,0.0,4060.3430967269933,0.0
0,0,250,300,205.9789441666826,0.0,843.8636244916818,0.0,5666.476226721373,0.0
0,0,300,400,148.46337102636969,0.0,541.10049376149,0.0,3987.35845057914,0.0
0,0,400,500,45.22078764501288,0.0,156.65173023846813,0.0,1218.3944960776664,0.0
0,0,500,600,16.334249037082408,0.0,54.58629723706256,0.0,442.18433758184364,0.0
0,0,600,800,14.673455365432666,0.0,43.32581702087821,0.0,354.9576380576638,0.0
0,1,210,230,52.00137645219411,0.0,201.51844473540277,0.0,1693.8503323741575,0.0
0,1,230,250,36.580353333804545,0.0,135.19182561191704,0.0,1116.8435842913573,0.0
0,1,250,300,44.88026779681019,0.0,170.68339388354167,0.0,1530.2056934012553,0.0
0,1,300,400,29.209376908634056,0.0,102.81273707780518,0.0,975.0163417372012,0.0
0,1,400,500,7.4163798426990155,0.0,26.36805917588651,0.0,251.02235787305244,0.0
0,1,500,600,2.444947581216184,0.0,7.926557334955528,0.0,75.54316865449442,0.0
0,1,600,800,1.5284402703480116,0.0,4.277885694306523,0.0,41.17290728665819,0.0
1,0,210,230,51.97570153918005,0.0,158.84454191761057,0.0,1639.6060607239906,0.0
1,0,230,250,35.934148386664006,0.0,112.14481066680285,0.0,1095.7899600755602,0.0
1,0,250,300,46.94619553870559,0.0,141.38227491417376,0.0,1439.301568261251,0.0
1,0,300,400,30.468028668508804,0.0,90.14779240877348,0.0,933.5858465738809,0.0
1,0,400,500,8.097592566130793,0.0,22.73957440036999,0.0,227.77766945165908,0.0
1,0,500,600,2.3015788942241526,0.0,6.404893823577824,0.0,64.12268432033582,0.0
1,0,600,800,1.18589808570945,0.0,3.580987302793573,0.0,30.98279065170277,0.0
1,1,210,230,19.845933251093996,0.0,76.50256833335281,0.0,907.1688620425498,0.0
1,1,230,250,12.42658191449351,0.0,49.8514770316265,0.0,589.2192216413499,0.0
1,1,250,300,16.78267517145045,0.0,62.23164526746467,0.0,730.0802652343663,0.0
1,1,300,400,8.154205544095674,0.0,34.91434417555406,0.0,403.1186366351469,0.0
1,1,400,500,1.945205081290339,0.0,6.171504391129824,0.0,77.15696207251185,0.0
1,1,500,600,0.34107257585243317,0.0,1.5146459475701242,0.0,16.16368852436724,0.0
1,1,600,800,0.10405846345868047,0.0,0.4151300300608625,0.0,4.814200561519118,0.0
